text,label
rekaman cctv kecelakaan motor pik depan taman grisenda mhmmdrhmtrmdhn visit wonderful mrahmatramadhan,1
tewaskan orang kecelakaan boss boeing minta maaf,1
anggota parlemen taiwan berencana meningkatkan denda maksimum masa hukuman orang menyetir keadaan mabuk,0
cgerakanbicara pertolongan pertama kecelakaan pkbakat,0
asuransi mana nih ppatk memberikan rincian siapa darimana asal partai caleg tersebut pihaknya,0
kunciran km km arah bitung padat penanganan kecelakaan kendaraan truk fuso bahu jalan,1
terjadi kecelakaan truk muatan besar tol kunciran serpong arah bitung akibatnya terjadi kepadatan lokasi kecelakaan,1
plot twist ibunya abis kecelakaan nemenin ugd baru ditinggal ga masalah sih yg penting kan etika profesional,0
update jadwal samsat keliling samsat desa tertib bayar pajak yuk stop pelanggaran stop kecelakaan keselamatan,0
dapet video kejadian kecelakaan tunggal margonda depok tadi pagi allah sedih liatnya biasa liat yg ky gt ga serem tp sedih iya turut berduka buat kalian yg bawa kendaraan jgn lupa berdoa bepergian hati patuhi rambu yaa,0
abis kecelakaan dimna lo gue gk kecelakaan kok aman aja trus knapa muka lo ancur sabar muka jelek emang banyak cobaan,0
wni korban tewas kecelakaan bus malaysia bertambah jadi orang pt bestprofit futures surabaya,1
shame on you cc keluarga korban kecelakaan lion air jt tolak santunan rp miliar alasannya,0
wib toljapek karawang timur km km arah cikampek padat evakuasi kecelakaan kendaraan truk lajur kiri bahu jalan,1
populerb kecelakaan bus malaysia wni meninggal terluka,1
kecelakaan maut bus eka ring road sragen,1
enam orang hilang akibat kecelakaan kereta api cina,1
terjadi kecelakaan depan mata gua banget bangsat bapak bapak bawa motor ditabrak belakang sama mobil pick up aing makan mie rebus warkop pinggur jalan langsung lemes,0
resto hb plg sukses dg layanan go foodnyaantrean driver mengular sabar menunggusedih melihat anak bangsa tak sedikit sarjana bekerja jaminan kesehatan jaminan kecelakaan kerja wish new president new hope for better future of us,0
rembang satuan lalu lintas polres rembang menangani peristiwa kecelakaan lalu lintas jalur pantura desa punjulharjo rembang mengakibatkan,1
akibat andra selalu menjaga emon jadi dikejarkejar terus sama tony lebih parahnya andra kecelakaan nonton anaklangitepsdan pukul wib sctvsinetron jangan lupa saksikan via streaming follow channel sctv,0
jakarta kecelakaan persimpangan slipi jasamarga,1
santunan diberikan warga sebesar rp juta warga meninggal sakit korban kecelakaan mendapat santunan rp juta hingga triwulan pertama tahun,0
satgas pamtas yonif wrg obati warga kecelakaan tunggal tniadmengabdidanmembangunbersamarakyat,1
sayangi nyawa amp orang jangan sia siakan nyawa melayang jalan berperilaku amp beretika tertib berlalu lintas upaya menekan angka kecelakaan dg aturan yg berlaku keselamatan no,0
ciel waktu masa kecil aku gak tahu selalu aja kecelakaan yg terjadi diriku papa aku bikin kopi yg panas banget alhasil ketumpahan kena perut aku aja dah pokoknya lrpd pajamaclassa,0
habis kecelakaan pengen banget salad buah nya diem doang karna dirumah ga motor motornya ancur dibagian depan jadi motornya ditinggal sby,0
rasa takut kematian paling dibenarkan semua ketakutan risiko kecelakaan seseorang mati,0
liyane mabuk ngantuk uga kalebu penyebab kecelakaan sing paling akeh angop,0
kecelakaan fatal terjadi jalan tanjung morawa depan spbu pengirim video sepeda motor menabrak bus sedang mau belok masuk spbu pengendara sepeda motor penumpang terlihat luka parah terjadi pukul wib,1
kalo kecelakaan tuh jangan kerumunin dong udah bantu kagak bikin macet iya,0
shock baru dpt kabar temen kantor kecelakaan beruntun asli se shock krn jalanan yg biasa gw lewatin pulang kerjatrs yg korbanya temen yg biasa pulang brg sm gw td gw udh mau balik brg tp krn gw lembur akhirnya temen gw pulang pake gojek allah mba pite,0
wib kendaraan truk tangki pertamina mengalami kecelakaan km penanganan petugas lajur lewatiuda,1
kecelakaan manggarai polisi pelaku kabur mobil ditinggal detiknews,1
orangtua berikan pengertian putra putri yg msh blm cukup umur ttg bahaya kecelakaan bila berkendara blm waktunya,0
dpet kabar dri grup wa bus parawisata man sukabumi pulang studytour bandung kecelakaan waluran galumpit semoga semuanya selamat amin,1
kecelakaan berawal pelanggaran budayakan tertib berlalu lintas mrsf satlantasindonesia korlantaspolri ntmcpolri roadsafety generasimillennial generasimuda roadsafety roadsafetyweek stoppelanggaranstopkecelakaankeselamatanuntukkemanusiaan,0
mustb mengalami kecelakaan mobil manajer grup meninggal dunia,0
anggota polisi sidimpuan alami kecelakaan pegamanan pemilu via,1
kalo kecelakaan motor mobil yg minta maap,0
mudik motor rawan kecelakaan,0
kecelakaan tunggal dikendarai mbahe wong ndemak korban kecelakaan terjadi lantaran remnya pakemmungkin kampase kepanasan lokasi sigar,1
